timestamp,stPwrLine,cuHvBatChrgSet,stScktALck,uHcChrgr,curHvDcObc,rPwmStrgWhl,uExt2,uExt,curAirHeater,rApp,tqRearAxleDes,stFrntAxle,pwrClntPmpHvBat,uChrgMax,uDchrgMin,tHvBat,cur2HvBat,curHvBat1,uSumCell,uHvBat,uPosHvBatChrgCtctr,uPosHvBatCtctr,uPosHvBat,numUCellMin1,uCellMin1,numUCellMax1,uCellMax1,cbHvBatChrg,cbHvBatDchrg,wHvBatChrg,wHvBatDchrg,numChrgMin1,chrgMin1,numChrgMax1,chrgMax1,curLimDynDchrg,curChrgLimDyn,numTMinHvBat,tMinHvBat,numTMaxHvBat,tMaxHvBat,stPwrRed2,tClntHvBatIn,tClntHvBatOut,uHvBatCtctr,curPtcHvBat,stTerm15,rSocBat2,vVeh3,stInvDchrgReq
1788967013.275173,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967013.605095,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967013.935133,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967014.275260,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967014.605187,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967014.935142,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967015.265158,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967015.595365,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967015.925263,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967016.255337,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967016.585826,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,6,21,1,22,0,22,22,430,0,1,79,0,0
1788967016.915280,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,6,21,1,22,0,22,22,430,0,1,79,0,0
1788967017.246228,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967017.575461,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967017.915323,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,20,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967018.246164,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,25,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967018.575445,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967018.905302,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967019.235414,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967019.565482,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967019.895423,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967020.225536,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967020.555562,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967020.885918,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,19,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967021.215501,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,21,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967021.546220,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967021.886220,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,19,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967022.215479,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,21,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967022.546239,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967022.875691,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,19,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788967023.205525,0,0,17923,426,0,0,5,5,0,14,0,15,0,459,270,21,0,0,430,430,0,430,430,67,3,21,3,4862,7804360,2044,498090,66,78,14,79,3536,226,6,21,1,22,0,22,22,430,0,1,79,0,0
