strEcu,strLabLong,strLab,numIdTstr,numIdGtwy,numSid,numDid,numDwnSamp,numBytes,numStrtBit,numLenBit,strDbc,strType,numFac,numOfs,stIntp,stUse1,stUse2,stUse3,stUse4,stRvt,numMtyLvl,strCmnt,strtByte,lenByte,strName
Fuel Cell,Radiator Rotary Valve Carrying Request (WRA2),stRadRotVlvReqA2,2001,2009,34,6181,,2,14,1,11|1@0,uint,1,0,1,1,1,,,,"2,1331",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Carrying Request (WRB1),stRadRotVlvReqB1,2001,2009,34,6181,,2,13,1,8|1@0,uint,1,0,1,1,1,,,,"2,4953",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Carrying Request (WRB2),stRadRotVlvReqB2,2001,2009,34,6181,,2,12,1,9|1@0,uint,1,0,1,1,1,,,,"2,4953",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Fail Status (WRA1),stRadRotVlvFailA1,2001,2009,34,6171,,4,0,8,7|8@0,uint,1,0,0,1,,,,,"2,0283",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Fail Status (WRA2),stRadRotVlvFailA2,2001,2009,34,6171,,4,8,8,15|8@0,uint,1,0,0,1,,,,,"2,699",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Fail Status (WRB1),stRadRotVlvFailB1,2001,2009,34,6171,,4,16,8,23|8@0,uint,1,0,0,1,,,,,"2,0283",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Fail Status (WRB2),stRadRotVlvFailB2,2001,2009,34,6171,,4,24,8,31|8@0,uint,1,0,0,1,,,,,"2,5003",,,,Mirai2
High Voltage Battery,Smoothed Value of BATT Voltage [V],uBatSmth,1863,1871,34,8002,,2,0,16,7|16@0,uint,1000,0,1,1,1,,,,"2,4422",,,,Mirai2
Hybrid Control Unit,Steering Angle Signal [deg],angSteer,2002,2010,34,6917,,136,392,16,399|16@0,uint,10,3276.8,1,1,1,,,,"2,1366",,,,Mirai2
Hybrid Control Unit,Stop Light Switch,stStopLght,2002,2010,34,4163,,2,14,1,9|1@0,uint,1,0,1,1,1,,,,"3,714",,,,Mirai2
Fuel Cell Converter,Target FC Current (Hybrid/EV) [A],curFcSet,2003,2011,34,5685,,2,0,16,7|16@0,uint,16.384,0,1,1,1,,,,"2,5998",,,,Mirai2
High Voltage Battery,Target Generator Torque [Nm],tqGenSet,1863,1871,34,4256,,5,16,12,23|12@0,uint,0.5,4096,1,1,1,,,,"2,4368",,,,Mirai2
Hybrid Control Unit,Target Mass Air Flow [L/min],mfAirSet,2002,2010,34,6935,,5,8,16,15|16@0,uint,1.6384,0,1,1,1,,,,"1,9464",,,,Mirai2
Hybrid Control Unit,Target Motor Torque [Nm],tqMotSet,2002,2010,34,4257,,6,16,16,23|16@0,uint,8,4096,1,1,1,,,,"2,1544",,,,Mirai2
Hybrid Control Unit,Target Propeller Shaft Torque (Driver Support System Last Time Value) [Nm],tqPropShaftSet,2002,2010,34,7043,,2,0,16,7|16@0,uint,8,4096,1,1,1,,,,"2,5938",,,,Mirai2
Hybrid Control Unit,Total Distance Traveled,lDistTot,2002,2010,34,259,,4,8,24,15|24@0,uint,1,0.9982,1,1,,,,,,,,,Mirai2
Fuel Cell Converter,Total Voltage [V],uTot,2003,2011,34,5715,,2,0,16,7|16@0,uint,64,0,1,1,1,,,,"0,22271",,,,Mirai2
High Voltage Battery,Vehicle Speed [km/h],vVeh,1863,1871,34,7949,,1,0,8,7|8@0,uint,1,0,1,1,1,,,,"0,79498",,,,Mirai2
Fuel Cell Converter,VH Voltage [V],uVh,2003,2011,34,5714,,2,0,16,7|16@0,uint,64,0,1,1,1,,,,"2,9793",,,,Mirai2
High Voltage Battery,VH-Voltage after Boosting [V],uBoostAfter,1863,1871,34,4272,,4,16,16,23|16@0,uint,2,0,1,1,1,,,,"2,0863",,,,Mirai2
High Voltage Battery,VL-Voltage before Boosting [V],uBoostBefore,1863,1871,34,4272,,4,0,16,7|16@0,uint,2,0,1,1,1,,,,"0,58307",,,,Mirai2
Hybrid Control Unit,Yaw Rate Value [deg/s],rYaw,2002,2010,34,4243,,2,0,14,7|14@0,uint,64,128,1,1,,,,,"0,69592",,,,Mirai2
Fuel Cell Converter,Ignition 2 Status (Line),stTerm15,2003,2011,34,4097,,2,14,1,9|1@0,uint,1,0,0,1,,,,,,,,,Mirai2
